query,accession,title,organism,n_samples,date,has_pub,type,platform,summary
Parkinson's disease AND blood AND GPL570,GSE7179,Comparison of gene expression data between wild-type and DM1-affected undifferentiated hES cells.,Homo sapiens,9.0,2010/02/24,True,Expression profiling by array,570,"analysis of genes that were differentially expressed in mutant vub03_dm1 as compared to controls vub01 and sa01 undifferentiated hes cells embryonic stem (es) cell lines provide, theoretically, unlimited access to any needed amount of any specific cell phenotype of an organism, due to their unique capacities at indefinite self-renewal and pluripotency (smith 2001; trounson 2006). these properties allow using the progeny of es cell lines to model human pathologies (martinat, shendelman et al. 2004; lerou and daley 2005; ben-nun and benvenisty 2006). in particular, human es cell lines derived from embryos characterized as gene-carriers following pre-implantation genetic diagnosis (pgd) for any one of major monogenic diseases (pickering, minger et al. 2005; mateizel, de temmerman et al. 2006) may be considered as perfect cellular replicas of those diseases, as they exhibit the exact genotypes associated to them. here, we confirm this hypothesis by demonstrating that the cell progeny of an es cell line derived from an embryo with myotonic dystrophy type 1 (dm1) displayed the morphological stigma associated to the expression of the mutant gene –so-called intranuclear foci- as well as abnormal alternate splicing of the insulin receptor, a characteristic feature of dm1. further differential transcriptomic analysis of the dm1 gene-carrying cells with phenotypically similar populations from native es cell lines revealed abnormal expression of 89 genes, among which 48 were down-regulated and 39 over-expressed. this study demonstrates that dm1, though a disease with relatively late clinical onset, is associated with expression of genetic defects early on during development. it underlines the value of pgd-derived es cell lines as a tool to decipher molecular mechanisms of genetic diseases. ben-nun, i. f. and n. benvenisty (2006). human embryonic stem cells as a cellular model for human disorders. mol cell endocrinol 252(1-2): 154-9. lerou, p. h. and g. q. daley (2005). therapeutic potential of embryonic stem cells. blood rev 19(6): 321-31. martinat, c., s. shendelman, et al. (2004). sensitivity to oxidative stress in dj-1-deficient dopamine neurons: an es- derived cell model of primary parkinsonism. plos biol 2(11): e327. mateizel, i., n. de temmerman, et al. (2006). derivation of human embryonic stem cell lines from embryos obtained after ivf and after pgd for monogenic disorders. hum reprod 21(2): 503-11. pickering, s. j., s. l. minger, et al. (2005). generation of a human embryonic stem cell line encoding the cystic fibrosis mutation deltaf508, using preimplantation genetic diagnosis. reprod biomed online 10(3): 390-7. smith, a. g. (2001). embryo-derived stem cells: of mice and men. annu rev cell dev biol 17: 435-62. trounson, a. (2006). the production and directed differentiation of human embryonic stem cells. endocr rev 27(2): 208-19. keywords: disease state analysis"
Parkinson's disease AND blood AND GPL570,GSE7178,Comparison of gene expression data between wild-type and DM1-affected Neural Precursors Cells (NPC),Homo sapiens,9.0,2010/02/24,True,Expression profiling by array,570,"analysis of genes that were differentially expressed in mutant vub03_dm1 as compared to controls vub01 and sa01 neural precursor cells embryonic stem (es) cell lines provide, theoretically, unlimited access to any needed amount of any specific cell phenotype of an organism, due to their unique capacities at indefinite self-renewal and pluripotency (smith 2001; trounson 2006). these properties allow using the progeny of es cell lines to model human pathologies (martinat, shendelman et al. 2004; lerou and daley 2005; ben-nun and benvenisty 2006). in particular, human es cell lines derived from embryos characterized as gene-carriers following pre-implantation genetic diagnosis (pgd) for any one of major monogenic diseases (pickering, minger et al. 2005; mateizel, de temmerman et al. 2006) may be considered as perfect cellular replicas of those diseases, as they exhibit the exact genotypes associated to them. here, we confirm this hypothesis by demonstrating that the cell progeny of an es cell line derived from an embryo with myotonic dystrophy type 1 (dm1) displayed the morphological stigma associated to the expression of the mutant gene –so-called intranuclear foci- as well as abnormal alternate splicing of the insulin receptor, a characteristic feature of dm1. further differential transcriptomic analysis of the dm1 gene-carrying cells with phenotypically similar populations from native es cell lines revealed abnormal expression of 89 genes, among which 48 were down-regulated and 39 over-expressed. this study demonstrates that dm1, though a disease with relatively late clinical onset, is associated with expression of genetic defects early on during development. it underlines the value of pgd-derived es cell lines as a tool to decipher molecular mechanisms of genetic diseases. ben-nun, i. f. and n. benvenisty (2006). human embryonic stem cells as a cellular model for human disorders. mol cell endocrinol 252(1-2): 154-9. lerou, p. h. and g. q. daley (2005). therapeutic potential of embryonic stem cells. blood rev 19(6): 321-31. martinat, c., s. shendelman, et al. (2004). sensitivity to oxidative stress in dj-1-deficient dopamine neurons: an es- derived cell model of primary parkinsonism. plos biol 2(11): e327. mateizel, i., n. de temmerman, et al. (2006). derivation of human embryonic stem cell lines from embryos obtained after ivf and after pgd for monogenic disorders. hum reprod 21(2): 503-11. pickering, s. j., s. l. minger, et al. (2005). generation of a human embryonic stem cell line encoding the cystic fibrosis mutation deltaf508, using preimplantation genetic diagnosis. reprod biomed online 10(3): 390-7. smith, a. g. (2001). embryo-derived stem cells: of mice and men. annu rev cell dev biol 17: 435-62. trounson, a. (2006). the production and directed differentiation of human embryonic stem cells. endocr rev 27(2): 208-19. keywords: disease state analysis"
Parkinson's disease AND blood AND GPL570,GSE7177,Comparison of gene expression data between wild-type and DM1-affected Mesodermal Precursors Cells (MPC),Homo sapiens,9.0,2010/02/24,True,Expression profiling by array,570,"analysis of genes that were differentially expressed in mutant vub03_dm1 as compared to controls vub01 and sa01 mesodermal precursors cells. embryonic stem (es) cell lines provide, theoretically, unlimited access to any needed amount of any specific cell phenotype of an organism, due to their unique capacities at indefinite self-renewal and pluripotency (smith 2001; trounson 2006). these properties allow using the progeny of es cell lines to model human pathologies (martinat, shendelman et al. 2004; lerou and daley 2005; ben-nun and benvenisty 2006). in particular, human es cell lines derived from embryos characterized as gene-carriers following pre-implantation genetic diagnosis (pgd) for any one of major monogenic diseases (pickering, minger et al. 2005; mateizel, de temmerman et al. 2006) may be considered as perfect cellular replicas of those diseases, as they exhibit the exact genotypes associated to them. here, we confirm this hypothesis by demonstrating that the cell progeny of an es cell line derived from an embryo with myotonic dystrophy type 1 (dm1) displayed the morphological stigma associated to the expression of the mutant gene –so-called intranuclear foci- as well as abnormal alternate splicing of the insulin receptor, a characteristic feature of dm1. further differential transcriptomic analysis of the dm1 gene-carrying cells with phenotypically similar populations from native es cell lines revealed abnormal expression of 89 genes, among which 48 were down-regulated and 39 over-expressed. this study demonstrates that dm1, though a disease with relatively late clinical onset, is associated with expression of genetic defects early on during development. it underlines the value of pgd-derived es cell lines as a tool to decipher molecular mechanisms of genetic diseases. ben-nun, i. f. and n. benvenisty (2006). human embryonic stem cells as a cellular model for human disorders. mol cell endocrinol 252(1-2): 154-9. lerou, p. h. and g. q. daley (2005). therapeutic potential of embryonic stem cells. blood rev 19(6): 321-31. martinat, c., s. shendelman, et al. (2004). sensitivity to oxidative stress in dj-1-deficient dopamine neurons: an es- derived cell model of primary parkinsonism. plos biol 2(11): e327. mateizel, i., n. de temmerman, et al. (2006). derivation of human embryonic stem cell lines from embryos obtained after ivf and after pgd for monogenic disorders. hum reprod 21(2): 503-11. pickering, s. j., s. l. minger, et al. (2005). generation of a human embryonic stem cell line encoding the cystic fibrosis mutation deltaf508, using preimplantation genetic diagnosis. reprod biomed online 10(3): 390-7. smith, a. g. (2001). embryo-derived stem cells: of mice and men. annu rev cell dev biol 17: 435-62. trounson, a. (2006). the production and directed differentiation of human embryonic stem cells. endocr rev 27(2): 208-19. keywords: disease state analysis"
Parkinson's disease AND blood AND GPL570,GSE20153,Expression analysis of lymphoblast cells lines in Parkinson's disease,Homo sapiens,16.0,2010/02/04,True,Expression profiling by array,570,genome-wide transcriptome analysis of expression changes in ebv transformed cell lines from the coriell cell repository in parkinson and control subjects.
Parkinson's disease AND blood AND GPL570,GSE14711,Parkinson’s disease patient-derived induced pluripotent stem cells free of viral reprogramming factors,Homo sapiens,11.0,2009/03/06,True,Expression profiling by array,570,"induced pluripotent stem cells (ipscs) derived from somatic cells of patients by viral vector-mediated factor transduction represent a powerful tool for biomedical research and may provide a source for cell replacement therapies. however, the proviruses encoding the reprogramming factors represent a major limitation of the current technology because even low vector expression may alter the differentiation potential of the ipscs and induce malignant transformation. here we show that fibroblasts from five patients with idiopathic parkinson’s disease (pd) can be efficiently reprogrammed into hipscs and subsequently differentiated into dopaminergic neurons. moreover, we derived pd specific hipscs free of reprogramming factors using cre-recombinase excisable viruses. upon factor deletion these cells maintain a pluripotent state and intact karyotype. importantly, these factor-free hipscs show a global gene expression profile, which is more closely related to hescs than to hipscs carrying the transgenes. our results indicate that residual transgene expression in conventional virus-carrying hipscs can affect their molecular characteristics and that factor-free hipscs therefore represent a more suitable source of cells for modeling of human disease."
Parkinson's disease AND blood AND GPL570,GSE9807,Expression data from RNAi SNCA treated human neuroblastoma cell line,Homo sapiens,6.0,2009/02/01,True,Expression profiling by array,570,"the pre-synaptic protein α-synuclein is a key player in the pathogenesis of parkinson's disease. together with accumulation and missfolding of α-synuclein protofibrils serve as seed structures for the aggregation of numerous proteins in the cytoplasm of neuronal cells, the so-called lewy bodies. furthermore, missense mutations in the snca gene and gene multiplications lead to autosomal dominant forms of familiar pd. however, so far the exact biological role of α-synuclein in normal brain is elusive. to gain more insights into the biological function of this protein we monitored whole genome expression changes in dopaminergic neuroblastoma cells (sh-sy5y) caused by a 90% reduction of α-synuclein by rna interference. keywords: whole genome expression changes through the loss of α-synuclein"
Parkinson's disease AND blood AND GPL570,GSE14429,Alteration of gene expression profile in HEK293 cells treated with proteasome inhibitor epoxomicin,Homo sapiens,12.0,2009/01/15,True,Expression profiling by array,570,"the objective of this study is to identify the genes that are up-regulated amid proteasome dysfunction to facilitate the discovery of proteolytic pathways that are activated as a compensatory response to proteasome inhibition. proteasome is a large multi-component proteolytic complex in the cell. it is responsible for the constitutive turn-over of many cellular proteins as well as the degradation of oxidized and/or unfolded proteins. with such a fundamental role in the cell, disruption of proteasome understandably can lead to disastrous outcome. oxidative stress has been postulated as the driving mechanism for aging. oxidatively modified proteins, which usually have lost their activity, require immediate removal by proteasome to maintain normal cellular function. dysfunction of proteasome has also been linked to neuro-degenerative diseases such as alzheimer’s and parkinson’s diseases, those that are most commonly seen in aged population. there is more than one proteolytic pathway in the cell, and it has been reported that obstruction of any one of these pathways may enhance the activity of the others. proteasomal function has been found to have decreased during aging, prompting researchers to hypothesize that failure to remove oxidized proteins may play an important role in aging. it would be interesting to determine the other proteolytic pathways that are activated after proteasome inhibition by a relatively specific inhibitor epoxomicin to help understand their roles in aging processes. keywords: time course, proteasome, inhibitor, oxidative stress, epoxomicin"
Parkinson's disease AND blood AND GPL570,GSM505623,ND 06449 Pm,Homo sapiens,0.0,2010/02/04,False,,570,lymphoblasts
Parkinson's disease AND blood AND GPL570,GSM505617,ND 04424 Pm,Homo sapiens,0.0,2010/02/04,False,,570,lymphoblasts
Parkinson's disease AND blood AND GPL570,GSM505607,ND 04158 Pf,Homo sapiens,0.0,2010/02/04,False,,570,lymphoblasts
Parkinson's disease AND blood AND GPL570,GSM505606,ND 03432 Pf,Homo sapiens,0.0,2010/02/04,False,,570,lymphoblasts
Parkinson's disease AND blood AND GPL570,GSM505314,ND 02852 Pm,Homo sapiens,0.0,2010/02/04,False,,570,lymphoblasts
Parkinson's disease AND blood AND GPL570,GSM505313,ND 02579 Pm,Homo sapiens,0.0,2010/02/04,False,,570,lymphoblasts
Parkinson's disease AND blood AND GPL570,GSM505312,ND 01737 Pf,Homo sapiens,0.0,2010/02/04,False,,570,lymphoblasts
Parkinson's disease AND blood AND GPL570,GSM505308,ND 01173 Pf,Homo sapiens,0.0,2010/02/04,False,,570,lymphoblasts
Parkinson's disease AND blood AND GPL570,GSM367258,iPS PDB 2lox-17,Homo sapiens,0.0,2009/03/06,False,,570,virus-carrying human induced pluripotent stem cells (hipsc)
Parkinson's disease AND blood AND GPL570,GSM367245,iPS PDB 2lox-21,Homo sapiens,0.0,2009/03/06,False,,570,virus-carrying human induced pluripotent stem cells (hipsc)
Parkinson's disease AND blood AND GPL570,GSM367244,iPS PDB 2lox-22,Homo sapiens,0.0,2009/03/06,False,,570,virus-carrying human induced pluripotent stem cells (hipsc)
Parkinson's disease AND blood AND GPL570,GSM367243,iPS PDB 2lox-5,Homo sapiens,0.0,2009/03/06,False,,570,virus-carrying human induced pluripotent stem cells (hipsc)
Parkinson's disease AND blood AND GPL570,GSM367242,iPS PDB 1lox-21Puro-26,Homo sapiens,0.0,2009/03/06,False,,570,factor-free human induced pluripotent stem cells (hipsc)
Parkinson's disease AND blood AND GPL570,GSM367241,iPS PDB 1lox-21Puro-20,Homo sapiens,0.0,2009/03/06,False,,570,factor-free human induced pluripotent stem cells (hipsc)
Parkinson's disease AND blood AND GPL570,GSM367240,iPS PDB 1lox-17Puro-10,Homo sapiens,0.0,2009/03/06,False,,570,factor-free human induced pluripotent stem cells (hipsc)
Parkinson's disease AND blood AND GPL570,GSM367219,iPS PDB 1lox-17Puro-5,Homo sapiens,0.0,2009/03/06,False,,570,factor-free human induced pluripotent stem cells (hipsc)
Parkinson's disease AND blood AND GPL10558,GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,Homo sapiens,105827.0,2010/06/17,False,,10558,"the humanht-12 v4 expression beadchip provides high throughput processing of 12 samples per beadchip without the need for expensive, specialized automation. the beadchip is designed to support flexible usage across a wide-spectrum of experiments. the updated content on the humanht-12 v4 expression beadchips provides more biologically meaningful results through genome-wide transcriptional coverage of well-characterized genes, gene candidates, and splice variants. each array on the humanht-12 v4 expression beadchip targets more than 31,000 annotated genes with more than 47,000 probes derived from the national center for biotechnology information reference sequence (ncbi) refseq release 38 (november 7, 2009) and other sources. please use the geo data submission report plug-in v1.0 for gene expression which may be downloaded from https://icom.illumina.com/icom/software.ilmn?id=234 to format the normalized and raw data. these should be submitted as part of a geoarchive. instructions for assembling a geoarchive may be found at http://www.ncbi.nlm.nih.gov/projects/geo/info/spreadsheet.html october 11, 2012: annotation table updated with humanht-12_v4_0_r2_15002873_b.txt protocol: see manufacturer's website"
Parkinson's disease AND blood AND GPL10558,GSM1318551,RNA pool from PD patients 1-5,Homo sapiens,0.0,2014/01/31,False,,10558,peripheral blood
Parkinson's disease AND blood AND GPL10558,GSM1318550,PD patient 4,Homo sapiens,0.0,2014/01/31,False,,10558,peripheral blood
Parkinson's disease AND blood AND GPL10558,GSM1318549,PD patient 3,Homo sapiens,0.0,2014/01/31,False,,10558,peripheral blood
Parkinson's disease AND blood AND GPL10558,GSM1318548,PD patient 2,Homo sapiens,0.0,2014/01/31,False,,10558,peripheral blood
Parkinson's disease AND blood AND GPL10558,GSM1318547,PD patient 1,Homo sapiens,0.0,2014/01/31,False,,10558,peripheral blood
Parkinson's disease AND brain AND GPL6244,GSE99253,Human iPSC-derived dopaminergic neurons function in primate Parkinson’s disease models,Homo sapiens,14.0,2017/08/21,True,Expression profiling by array,6244,"induced pluripotent stem cells (ipscs) are a promising source for cell-based therapy to treat parkinson's disease (pd), in which midbrain dopaminegic (da) neurons progressively degenerate. however, long-term analysis of human ipsc-derived da neurons in primate pd models has never been performed. here we show that da progenitor cells derived from ipscs of both healthy individuals and pd patients survived well in the brains of pd model primates and improved animal behavior. magnetic resonance and positron emission tomography were useful to monitor the survival and function of the da neurons. score-based and video-recording analyses revealed an increase in spontaneous movement of the monkeys after transplantation. histological studies showed that the mature da neurons extended dense neurites into the host striatum. in addition, we never observed tumor formation for two years. thus, this preclinical study using primate models indicates that human ipsc-derived da progenitors are clinically applicable to treat pd patients."
Parkinson's disease AND brain AND GPL6244,GSE51214,Isolation of human iPSC-derived dopaminergic progenitors by cell sorting,Homo sapiens,20.0,2014/03/07,True,Expression profiling by array,6244,"human induced pluripotent stem cells (ipscs) can provide a promising source of midbrain dopaminergic (da) neurons for cell replacement therapy for parkinson’s disease. however, ipsc-derived donor cells may inevitably contain tumorigenic or inappropriate cells. purification of neural progenitor cells or da neurons as suitable donor cells has been attempted, but the isolation of da progenitor cells derived from human pluripotent stem cells has so far been unsuccessful. here we show human ipsc-derived da progenitor cells can be efficiently isolated by cell sorting using a floor plate marker, corin. we were able to develop a method for 1) scalable da neuron induction on human laminin fragment and 2) sorting da progenitor cells using an anti-corin antibody. furthermore, we determined the optimal timing for the cell sorting and transplantation. the grafted cells survived well and functioned as midbrain da neurons in the 6-ohda-lesioned rats, and showed minimal risk of tumor formation. the sorting of corin-positive cells is favorable in terms of both safety and efficiency, and our protocol will contribute to the clinical application of human ipscs for parkinson’s disease."
SNCA AND Parkinson AND GPL570,GSE29774,Generation of isogenic pluripotent stem cells differing exclusively at two early onset Parkinson point mutations,Homo sapiens,18.0,2011/07/26,True,Genome variation profiling by SNP array; Expression profiling by array,6801;13695,this superseries is composed of the subseries listed below.
Alzheimer's disease AND control AND GPL570,GSE54765,"1,25-dihydroxyvitamin D3 triggers an anti-inflammatory response in brain pericyte",Homo sapiens,4.0,2017/01/01,False,Expression profiling by array,570,"background: epidemiology and experimental studies suggest 1,25-dihydroxyvitamin d3 plays a neuroprotective role in neurodegenerative diseases including alzheimer's disease. most of the experimental data on the genes regulated by this hormone in brain cells have been obtained with neuron and glial cells. emerging evidence demonstrates pericyte plays a critical role in brain function that encompasses its classical function in the control and maintenance of the blood brain barrier. however, the gene response of brain pericyte to 1,25d remains to be investigated. methods: the transcriptomic response of human brain pericytes to 1,25-dihydroxyvitamin d3 was analyzed. results were confirmed by rt-qpcr for the genes of interest. results: we demonstrate that human brain pericyte in culture responds to 1,25-dihydroxyvitamin d3 by regulating genes involved in the control of neuro-inflammation. we also showed that pericytes respond to the pro-inflammatory cytokines tnf-alpha and interferon gamma by inducing the expression of the gene involved in the synthesis of 1,25-dihydroxyvitamin d3 named cyp27b1. conclusion: taken together these results suggest that neuro-inflammation could trigger the synthesis of 1,25-dihydroxyvitamin d3 by brain pericytes, which will in turn respond to the hormone by a global anti-inflammatory response."
Alzheimer's disease AND control AND GPL570,GSE48350,Alzheimer's Disease Dataset,Homo sapiens,253.0,2014/04/21,True,Expression profiling by array,570,"this dataset contains microarray data from normal controls (aged 20-99 yrs) and alzheimer's disease cases, from 4 brain regions: hippocampus, entorhinal cortex, superior frontal cortex, post-central gyrus. changes in expression of synaptic and immune related genes were analyzed, investigating age-related changes and ad-related changes, and region-specific patterns of change. these ad cases were processed simultaneously with the control cases (young and aged) included in gse11882 (gse11882 dataset contains data exclusively from normal control brains)."
Alzheimer's disease AND control AND GPL570,GSE30643,Expression data from parietal cortex of G114V genetic Creutzfeldt-Jakob disease patient,Homo sapiens,2.0,2013/07/01,False,Expression profiling by array,570,"the familial or genetic creutzfeldt-jakob disease (fcjd or gcjd) is the inherent form of human prion diseases, which accounts for approximately 10-15% of human prion diseases that are caused by mutations of the prion protein gene (prnp). in this study, the global expression patterns of the parietal cortex from a patient with g114v gcjd were comparatively analyzed with the normal controls by using a commercial human genome expression chip. totally 8774 genes showed differential expression, among them 2769 genes were upregulated and 6005 ones were downregulated. the reliability of the results was confirmed by the real-time rt-pcr assays for several specific genes. the most differentially expressed genes involved in the functions of regulation of transcription, ion transport, transcription, cell adhesion, signal transduction. the gene associated with gliosis was upregulated and the genes marked for neurons were downregulated, while the transcription of prnp gene maintained unchanged. 169 different pathways showed significantly changed in the brain of g114v gcjd. the most significantly regulated pathways included that of alzheimer’s and parkinson’s disease, oxidative phosphorylation, regulation of actin cytoskeleton, mapk signaling pathway and proteasome, which were described in prion diseases previously. in addition, some rarely addressed pathways in prion diseases, such as axon guidance, gap junction and purine metabolism, were also significantly changed in g114v gcjd. the transcriptional situations of the most genes in the top ten changed pathways were down-regulated. the extensive reductions of gene expressions in g114v gcjd showed the comparable profiles with sporadic cjd. the data here raised the useful clues for understanding the pathogenesis of the disease and selecting the potential biomarkers for diagnostic and therapeutic tools."
Alzheimer's disease AND control AND GPL570,GDS4141,Alzheimer's disease: induced pluripotent stem cells with Presenilin 2 mutation (N141),Homo sapiens,4.0,2011/09/10,True,Expression profiling by array,570,"analysis of 2 ipsc clones with presenilin 2 (ps2) mutation n141, established by retroviral transduction of fibroblasts from a familial alzheimer’s disease (fad) patient. ps2 mutations are causative factors for autosomal-dominant early-onset fad. results provide insight into molecular basis of fad."
Alzheimer's disease AND control AND GPL570,GSE28146,Microarray analyses of laser-captured hippocampus reveal distinct gray and white matter signatures associated with incipient Alzheimer’s disease,Homo sapiens,30.0,2011/08/01,True,Expression profiling by array,570,"alzheimer's disease (ad) is a devastating neurodegenerative disorder that threatens to reach epidemic proportions as our population ages. although much research has examined molecular pathways associated with ad, relatively few studies have focused on critical early stages. our prior microarray study correlated gene expression in human hippocampus with ad markers. results suggested a new model of early-stage ad in which pathology spreads along myelinated axons, orchestrated by upregulated transcription and epigenetic factors related to growth and tumor suppression (blalock et al., 2004). however, the microarray analyses were performed on rna from fresh frozen hippocampal tissue blocks containing both gray and white matter, potentially obscuring region-specific changes. in the present study, we used laser capture microdissection to exclude major white matter tracts and selectively collect ca1 hippocampal gray matter from formalin-fixed, paraffin-embedded (ffpe) hippoc ampal sections of the same subjects assessed in our prior study. microarray analyses of this gray matter-enriched tissue revealed many correlations similar to those seen in our prior study, particularly for neuron-related genes. nonetheless, in the laser-captured tissue, we found a striking paucity of the ad-associated epigenetic and transcription factor genes that had been strongly overrepresented in the prior tissue block study. in addition, we identified novel pathway alterations that may have considerable mechanistic implications, including downregulation of genes stabilizing ryanodine receptor ca2+ release and upregulation of vascular development genes. we conclude that ffpe tissue can be a reliable resource for microarray studies, that upregulation of growth-related epigenetic/ transcription factors with incipient ad is predominantly localized to white matter, further supporting our prior findings and model, and that alterations in vascular and ryanodine receptor-relat ed pathways in gray matter are closely associated with incipient ad."
Alzheimer's disease AND control AND GPL570,GDS4136,Various stages of Alzheimer's disease: laser-captured hippocampal CA1 gray matter,Homo sapiens,30.0,2011/08/01,True,Expression profiling by array,570,"analysis of laser-captured hippocampal ca1 gray matter from ffpe hippocampal sections of subjects at varying stages (incipient, moderate, severe) of alzheimer’s disease (ad). results provide insight into gray matter-specific molecular mechanisms underlying ad."
Alzheimer's disease AND control AND GPL570,GSE16759,mRNA and miRNA expression in parietal lobe cortex in Alzheimer's disease,Homo sapiens,16.0,2010/01/31,True,Expression profiling by array; Non-coding RNA profiling by array,570;8757,"in this study, we jointly profiled mrna and mirna expression to determine the role of mirnas in ad, and whether the levels of mirnas are related to those of target mrnas. we found a bias towards positive correlation between levels of mirnas and those of their targets."
Alzheimer's disease AND control AND GPL570,GSE5281,Alzheimer's disease and the normal aged brain (steph-affy-human-433773),Homo sapiens,161.0,2006/07/10,True,Expression profiling by array,570,"information about the genes that are preferentially expressed during the course of alzheimer’s disease (ad) could improve our understanding of the molecular mechanisms involved in the pathogenesis of this common cause of cognitive impairment in older persons, provide new opportunities in the diagnosis, early detection, and tracking of this disorder, and provide novel targets for the discovery of interventions to treat and prevent this disorder. information about the genes that are preferentially expressed in relationship to normal neurological aging could provide new information about the molecular mechanisms that are involved in normal age-related cognitive decline and a host of age-related neurological disorders, and they could provide novel targets for the discovery of interventions to mitigate some of these deleterious effects. aim 1. collect brain samples from three alzheimer’s disease centers (adcs) for subsequent gene expression profiling. individuals will be stratified with respect to diagnostic groups (using both clinical and neuropathological criteria), age groups, and apoe genotype. 150 individual brains will be sampled from the arizona adc, the duke university adc, and the washington university adc. miniscule sample sizes (200 um of sectioned tissue) from six brain regions that are histopathologically or metabolically relevant to ad and aging will be collected, ensuring that this proposal does not deplete the national resource. frozen and fixed samples will be sent to phoenix, sectioned in a standardized fashion, and then returned. aim 2. tissue heterogeneity will be eliminated prior to expression profiling by performing laser capture microscopy on all brain regions. aim 3. expression profile lcm-captured cells on the affymetrix u133 plus 2.0 array (~55,000 transcripts), and quickly provide these data to the community at large. aim 4. identify pathogenic cascades related to each of the clinico-pathologic correlates using unsupervised and supervised analyses coupled with a hypothesis-driven approach. aim 5. validation of the expression correlates at the protein and functional levels. scientific progress in the last few years has improved our understanding of ad and raised the hope of identifying treatments to halt the progression and prevent the onset of this disorder. for instance, researchers have begun to characterize the cascade of molecular events which lead to the major histopathological features of the disorder: neuritic plaques, which contain extra-cellular deposits of amyloid beta-peptides (abeta); neurofibrillary tangles, which contain the hyperphosphorylated form of the intracellular, microtubule-associated protein, tau; and a loss of neurons and synapses. these molecular events provide targets for the development of promising new treatments. for example, a-beta has been postulated to trigger a cascade of events that are involved in the pathogenesis of ad. this proposal hopes to provide new information about the genes that are preferentially expressed in the development of ad histopathology, including the over-expression of app, amyloid-induced neurotoxicity, and hyperphosphorylation of tau, as well as bring clarity to the metabolic abnormalities that seem to play a role in dementia and ad development and pathology. we will perform lcm on 6 brain regions with about 14 biological replicates per brain region. the brain regions are as follows: 1) entorhinal cortex 2) hippocampus 3) medial temporal gyrus 4) posterior cingulate 5) superior frontal gyrus and 6) primary visual cortex. we will collect layer iii pyramidal cells from the white matter in each region, isolate total rna from lcmed cell lysates, and perform double round amplification of each sample for array analysis. keywords: other"
Alzheimer's disease AND control AND GPL6244,GSE175735,The effect of homocysteine on Human Aortic Endothelial Cells [RNA],Homo sapiens,6.0,2021/05/29,True,Expression profiling by array,6244,"hyperhomocysteinemia (hhcy) is an established and potent independent risk factor for degenerative diseases, including cardiovascular disease (cvd), alzheimer disease, type ii diabetes mellitus, and chronic kidney disease. hhcy has been shown to inhibit proliferation and promote inflammatory responses in endothelial cells (ec), and impair endothelial function, a hallmark for vascular injury. however, metabolic processes and molecular mechanisms mediating hhcy-induced endothelial injury remains to be elucidated. this study examined the effects of hhcy on the expression of mrna and microrna (mirna) in human aortic endothelial cells treated with a pathophysiologically relevant concentration of homocysteine (hcy 500 μm). this is the first study to consider the effects of hhcy on both global mrna and mirna expression changes for mechanism identification. molecular axes and biochemical processes identified in this study are useful not only for the understanding of mechanisms underlying hhcy-induced endothelial injury, but also for discovering therapeutic targets for cvd in general."
Alzheimer's disease AND control AND GPL6244,GSE80245,Expression data from the neuron model of Alzheimer's disease (AD) with or without treatment of recombinant human mitochondrial transcriptional factor A (rhTFAM) protein,Homo sapiens,6.0,2016/12/01,True,Expression profiling by array,6244,"to delineate the mechanism by which htfam suppresses ad pathology in the neuron model of ad, we first performed microarray analyses using using rnas prepared from ps1p117l and wild-type neurons. next, we performed microarray analyses using ps1p117l neurons with or without recombinant htfam protein treatment. one-way anova was performed with the transcript clusters altered in ps1p117l cells with rhtfam treatment compared with those without the treatment. comparative analyses of ps1p117l cells with or without rhtfam treatment showed that the expression of genes involved in protein synthesis, gene expression, and cancer were significantly altered. from these microarray analyses, we found that the expression levels of the genes associated with neuritogenesis were decreased in ps1p117l neurons compared with those in the wild type, and that htfam significantly increased these gene expression."
Alzheimer's disease AND control AND GPL6244,GSE31163,Human induced pluripotent stem cells derived from a sporadic Alzheimer's disease patient,Homo sapiens,8.0,2015/12/31,False,Expression profiling by array,6244,"induced pluripotent stem cell (ipsc) disease models have been generated for a number of diseases, and some have shown their potential utilization for pathological and drug toxicological evaluations. we have generated two hipsc clones from a non-familial alzheimer’s patient (ad-ipscs), which expressed typical undifferentiated markers and fulfilled standard pluripotency assays. genome-wide microarray analysis revealed that ad-ipscs are highly similar to control hipscs and hescs, albeit with some noticeable differences in several genes: dnajc15, grpr, naip and snord116-18. several other biomarkers were differentially expressed in ad-ipsc clones, which were implicated in memory impairment and ad. furthermore, well characterized familial ad-associated genes (app, psen1, psen2) and non-familial (a2m, apoe, gap43, maoa, mpo, plat, plau, sorl1, snca) exhibited different expression patterns but were largely reset upon reprogramming into a pluripotent state. overall, hipscs can be good candidates for ad modeling and may represent an in vitro alternative to studying disease mechanisms and drug discovery/toxicology studies."
